;Date;bhp;blk;bp;cvx;ryaay;ko;mcd;nsrgy;sbux;shel;wmt;bhp;blk;bp;cvx;ryaay;ko;mcd;nsrgy;sbux;shel;wmt;AVG
65;29/09/10;49,165165;125,214256;21,076916;51,241856;27,981966;20,575214;53,704632;38,830307;10,652706;32,368156;40,841427;-0,001477038;0,003817655;0,01252086;-0,001230486;0,001270481;-0,001777393;0,000349707;-0,003077737;-0,004229012;-0,001653234;0,001381603;0,000535946
66;30/09/10;48,998238;126,319801;21,693415;51,096878;28,063944;20,49118;53,747894;38,556099;10,549477;32,245174;40,971561;0,007726757;0,002771575;0,008151121;0,004795822;-0,00524706;0,004429959;0,002383108;0,00283555;0,006579262;0,010530647;-0,001300284;0,003968769
67;01/10/10;49,877792;127,128525;22,104416;51,664257;27,726921;20,701267;54,043636;38,808659;10,710511;33,036602;40,849075;-0,007385603;-0,001091499;-0,011859007;-0,003404876;0,006091972;-0,001766379;0,000174057;-0,001455959;-0,004205872;-0,006730266;0,001705954;-0,00272068
68;04/10/10;49,036743;126,809418;21,508991;51,260792;28,118595;20,617241;54,0653;38,678772;10,607287;32,52858;41,00985;0,010227154;0,001015229;0,005392392;0,010969898;0,010013052;0,005715293;0,005012223;0,006274406;0,009365303;0,010440031;0,003471954;0,00708154
69;05/10/10;50,205208;127,106201;21,777721;52,572086;28,774426;20,890356;54,692886;39,241634;10,838511;33,320011;41,339016;0,010371528;0,000101655;0,002932342;0,002596178;0,004104842;0,00101806;-0,001491931;0,003341378;-0,002488988;0,001600054;0,004480582;0,002415064
70;06/10/10;51,418606;127,135956;21,925261;52,887299;29,047684;20,939384;54,505322;39,544716;10,776572;33,442997;41,767715;-0,001684209;-0,001015097;-0,000940409;-0,001919681;0,000680384;-0,00262254;0,001720782;-0,000237822;-0,000499361;0,001109763;-0,001594898;-0,000636644
71;07/10/10;51,219589;126,839142;21,877836;52,654041;29,093227;20,81332;54,721714;39,523067;10,764188;33,528564;41,614609;0,009583173;0,008926194;0,004164025;0,002178535;0,002846096;-0,000219275;0,001371927;-0,002305604;0;0,001313851;0,000399311;0,00256893
72;08/10/10;52,362366;129,473083;22,08861;52,918831;29,284512;20,802814;54,894852;39,313801;10,764188;33,63015;41,652889;-0,002670599;0,006766422;-0,007102645;-0,001191653;-0,000946618;0,001095168;-0,002920405;-0,00279912;-0,001334887;-0,000137864;0,001593363;-0,000877167
73;11/10/10;52,041363;131,506104;21,730301;52,773827;29,220751;20,855339;54,526951;39,06123;10,731153;33,619476;41,805988;-0,004469928;0,00334403;0,000210638;0,000673914;-0,001084371;0,000291648;-5,72784E-05;0,004708005;0,018803689;-0,001799757;-0,00552217;0,001372583
74;12/10/10;51,50848;132,522598;21,740843;52,855782;29,147882;20,869349;54,51976;39,48698;11,205986;33,480442;41,277779;0,009477142;0,001529113;0,001575938;-0,00088131;0,002030989;0,002470451;0,00097564;-0,000238115;0,001915951;0,004210633;-0,000806309;0,002023648
75;13/10/10;52,644848;132,990021;21,819878;52,748631;29,284512;20,988401;54,642376;39,465336;11,255532;33,806625;41,201214;0,003901749;-0,003625176;-0,004109576;0,001191934;-0,001624075;-0,000217384;0,007333712;0,001347856;0,002700024;0,002943946;-0,004624036;0,000474452
76;14/10/10;53,119946;131,884537;21,614378;52,8936;29,175205;20,977898;55,572929;39,588009;11,325726;34,036568;40,764862;-0,001735615;-0,004938822;-0,004255754;-0,001503676;0,000406592;0,000217384;0,002473278;-0,002779626;0,001738032;-0,000819572;0,000814931;-0,000943895
77;15/10/10;52,908081;130,393234;21,403608;52,710781;29,202532;20,988401;55,890316;39,335442;11,371142;33,972397;40,841427;-0,000791336;0,001873817;0,009203537;0,004495758;-0,000677821;0,000434524;-0,000897687;0,001113999;-0,0030066;0,004285515;0,003324822;0,001759866
78;18/10/10;52,811764;130,957047;21,862032;53,25927;29,15699;21,009411;55,77491;39,43647;11,292692;34,309288;41,155296;-0,019048323;-0,004625618;-0,005795645;-0,008776026;-0,00285857;0,002454008;-0,001857635;-0,010048948;-0,00430864;-0,013055148;-0,003569125;-0,006499061
79;19/10/10;50,545483;129,569641;21,572222;52,193832;28,965706;21,128462;55,53685;38,534443;11,181211;33,293278;40,818459;0,014163823;-0,012923757;0,001694191;0,00640464;0,01119001;0,005791175;0,002362805;0,007258651;0,00589379;0,005131408;0,001219994;0,004380612
80;20/10/10;52,221119;125,770706;21,65654;52,96925;29,721733;21,41209;55,839825;39,183907;11,333985;33,688988;40,933285;-0,002838982;-0,008407419;-0,004781507;0,001187352;0,00185931;0,002266687;0,005740693;0,007296579;-0,002538994;-0,003669014;0,004524721;5,81297E-05
81;21/10/10;51,880863;123,359352;21,419413;53,114265;29,849251;21,524137;56,58284;39,847797;11,267917;33,405575;41,36198;0,000537069;0,003382246;-0,001605416;0,001543785;-0,000265131;0,000988017;0,000608553;-0,01074951;0,018688967;0,002771989;0,000241062;0,001467421
82;22/10/10;51,945061;124,323814;21,34038;53,303406;29,831034;21,57316;56,662182;38,873604;11,763393;33,619476;41,384945;0,010080504;0,002146123;-0,003121101;0,001640593;0,00448546;-0,004250182;0,000828461;0,007275095;-0,001526999;-0,000276442;-0,00088436;0,00149065
83;25/10/10;53,164871;124,939697;21,187565;53,505146;30,14073;21,363066;56,770374;39,530281;11,722105;33,598083;41,300758;-0,003263727;0,000592718;0,004726517;0,001430319;-0,001314479;0,001634217;0,000331066;-0,004702864;0,002136513;0,003990622;0,004882694;0,000949418
84;26/10/10;52,766834;125,110329;21,419413;53,681652;30,049641;21,443605;56,813667;39,104527;11,779914;33,90823;41,767715;-0,007837867;-0,000308965;-0,005916125;-0,004305543;-0,006632537;-0,000354833;-0,007116256;-0,002975458;-0,004129881;-0,004544072;-0,005527263;-0,004513527
85;27/10/10;51,823074;125,021355;21,129608;53,152088;29,59421;21,426092;55,890316;38,837528;11,668425;33,555294;41,239506;0,011258872;-0,000954962;0,005381875;0,000669374;0,003196263;0,000142106;0;0,005851119;-0,00046121;0,007138941;0,00168974;0,00308292
86;28/10/10;53,184128;124,74675;21,39308;53,234074;29,812817;21,433104;55,890316;39,364315;11,65604;34,111435;41,400272;-0,001417693;0,007325637;0,002133854;-0,00956834;-0,001328886;0,000779681;0,001622418;0,002381771;0,005047343;0,007692773;0,000721981;0,00139914
