;Date;aapl;amzn;goog;googl;hd;jpm;msft;nvda;pg;tsla;unh;v;MCCC;aapl;amzn;goog;googl;hd;jpm;msft;nvda;pg;tsla;unh;v;AVG;FAMA&FRENCH
47;02/09/10;7,711667;135,210007;230,725189;231,821823;22,59091;27,936443;18,721766;2,197402;42,227398;4,212;27,485077;16,584709;0,22;0,011220558;0,011349319;0,006625182;0,006625189;0,006449343;0,011345282;0,006303368;0,014722974;0,001587597;-0,000206267;0,013660245;0,003126067;0,007734071;1,35
48;03/09/10;7,913504;138,789993;234,271896;235,385391;22,928892;28,675856;18,995476;2,273173;42,382046;4,21;28,363329;16,704517;0,64;-0,001614333;-0,004940736;-0,005482788;-0,005482775;-0,007632151;-0,009981741;-0,005940667;0,003930254;-0,001081907;-0,010651661;-0,001668085;-0,006031909;-0,004714875;1,23
49;07/09/10;7,884143;137,220001;231,332901;232,432434;22,529467;28,024292;18,737408;2,293838;42,276596;4,108;28,254597;16,474112;0,37;0,00852381;0,006034578;0,005741254;0,005741256;0,00177315;0,009426839;-0,000544211;0,014114497;0,001657864;0,007545847;0,000898904;-0,018298634;0,003551263;0,65
50;08/09/10;8,040412;139,139999;234,411362;235,525528;22,621639;28,63924;18,713943;2,369612;42,43829;4,18;28,313139;15,794409;0,78;0,000247853;0,003853258;0,005137696;0,005137671;-0,000590342;0,010745568;0,001449571;-0,005932124;-0,000575958;-0,003966187;0,002175728;-0,011361083;0,000526804;0,44
51;09/09/10;8,045002;140,380005;237,200912;238,328323;22,59091;29,356688;18,77651;2,337465;42,382046;4,142;28,455338;15,386587;0,32;0,000560954;0,006326718;-3,65E-05;-3,65E-05;0,00396891;-0,003697944;-0,002903809;-0,004718217;0,000791587;-0,011474201;0,007557481;0,008436966;0,000397956;0,45
52;10/09/10;8,0554;142,440002;237,180984;238,308304;22,798309;29,107782;18,651384;2,312208;42,459366;4,034;28,954844;15,688422;0;0,005944016;0,007945661;0,005555588;0,005555581;0,004512503;0,014606667;0,022358415;0,023912211;0,00057491;0,011683853;0,002886518;-0,016974617;0,007380109;1,30
53;13/09/10;8,166409;145,070007;240,234543;241,376373;23,036428;30,103416;19,636744;2,443088;42,51561;4,144;29,147932;15,087061;0,64;0,001655543;0,002030931;-0,001660129;-0,001660114;-0,000289728;-0,004245252;-0,001385967;-0,004101133;0,001147337;0,008304163;-0,001378109;0,010743312;0,000763405;0,06
54;14/09/10;8,197599;145,75;239,317978;240,45546;23,021065;29,810587;19,574177;2,420126;42,628078;4,224;29,055586;15,46493;0,23;0,003485717;-0,000894847;0,000189803;0,000189787;-0,00043485;0,002764262;0,001558751;0,000823438;0,003353235;0,017333774;-0,004287528;0,011556167;0,002969809;0,36
55;15/09/10;8,263659;145,449997;239,422592;240,560562;22,998026;30,000935;19,644558;2,424719;42,958488;4,396;28,770149;15,881961;0,68;0,01008754;0,007929321;0,000379331;0,000379327;0,000144948;0,000105894;0,003615533;0,000410866;0;-0,021051011;-0,000380327;-0,003478937;-0,000154793;0,07
56;16/09/10;8,457849;148,130005;239,631805;240,770767;23,005703;30,008251;19,808783;2,427014;42,958488;4,188;28,744965;15,755246;0;-0,001888473;0,0005567;0,008129766;0,008129754;-0,000870964;-0,009966973;-0,001890171;-0,00082248;-0,00099604;-0,014980795;-0,001397444;0,00069802;-0,001274925;0,15
